// Highest index (would be nice if this were the number of glyphs).
782
// "id","index","char","width","height","xoffset","yoffset","xadvance","chnl","x","y","page"
"1","3","\soh","46","46","-2","2","42","15","0","0","0"
"65533","782","�","46","46","-2","2","42","15","0","47","0"
"64258","781","ﬂ","46","41","-2","2","42","15","0","94","0"
"64257","780","ﬁ","46","41","-2","2","42","15","0","136","0"
"5","7","\enq","41","46","-2","2","42","15","0","178","0"
"6","8","\ack","41","46","-2","2","42","15","0","225","0"
"10003","779","✓","46","46","-2","2","42","15","0","272","0"
"8","10","\bs","46","46","-2","2","42","15","42","178","0"
"11","13","\vt","46","46","-2","2","42","15","42","225","0"
"12","14","\ff","36","46","3","2","42","15","47","0","0"
"14","15","\so","46","46","-2","2","42","15","47","47","0"
"15","16","\si","46","46","-2","2","42","15","84","0","0"
"9835","778","♫","46","46","-2","2","42","15","47","94","0"
"9834","777","♪","46","46","-2","2","42","15","0","319","0"
"18","19","\dc2","36","46","3","2","42","15","0","366","0"
"9827","774","♣","41","46","-2","2","42","15","0","413","0"
"20","21","\dc4","46","41","-2","2","42","15","37","366","0"
"21","22","\nak","46","46","-2","2","42","15","47","272","0"
"9824","773","♠","41","46","-2","2","42","15","47","319","0"
"23","24","\etb","46","46","-2","2","42","15","89","141","0"
"9794","772","♂","46","46","-2","2","42","15","89","188","0"
"9792","771","♀","36","46","3","2","42","15","94","47","0"
"9788","770","☼","46","46","-2","2","42","15","94","94","0"
"9787","769","☻","46","46","-2","2","42","15","131","0","0"
"9786","768","☺","46","46","-2","2","42","15","131","47","0"
"29","30","\gs","46","30","-2","8","42","15","89","235","0"
"30","31","\rs","46","30","-2","8","42","15","0","460","0"
"31","32","\us","46","30","-2","8","42","15","42","408","0"
"9689","766","◙","46","46","-2","2","42","15","0","491","0"
"9688","765","◘","46","46","-2","2","42","15","0","538","0"
"9670","761","◆","41","46","-2","2","42","15","0","585","0"
"9660","759","▼","46","30","-2","8","42","15","84","366","0"
"9650","757","▲","46","30","-2","8","42","15","89","319","0"
"9619","751","▓","46","46","-2","2","42","15","94","266","0"
"9618","750","▒","46","46","-2","2","42","15","136","141","0"
"9617","749","░","41","46","-2","2","42","15","141","94","0"
"9616","748","▐","25","46","19","2","42","15","136","188","0"
"9612","747","▌","25","46","-2","2","42","15","178","0","0"
"42","43","*","46","30","-2","8","42","15","136","235","0"
"9608","746","█","46","46","-2","2","42","15","178","47","0"
"9604","745","▄","46","25","-2","23","42","15","204","0","0"
"9601","744","▁","46","15","-2","34","42","15","89","350","0"
"9600","743","▀","46","25","-2","2","42","15","162","188","0"
"9580","742","╬","46","46","-2","2","42","15","183","94","0"
"9579","741","╫","46","46","-2","2","42","15","183","141","0"
"9578","740","╪","46","46","-2","2","42","15","225","26","0"
"9577","739","╩","46","30","-2","2","42","15","0","632","0"
"9576","738","╨","46","30","-2","2","42","15","42","585","0"
"9575","737","╧","46","30","-2","2","42","15","47","439","0"
"9574","736","╦","46","36","-2","13","42","15","89","397","0"
"9573","735","╥","46","25","-2","23","42","15","251","0","0"
"9572","734","╤","46","36","-2","13","42","15","47","470","0"
"9571","733","╣","41","46","-2","2","42","15","47","507","0"
"9570","732","╢","41","46","-2","2","42","15","0","663","0"
"9569","731","╡","30","46","-2","2","42","15","0","710","0"
"9568","730","╠","36","46","9","2","42","15","0","757","0"
"9567","729","╟","36","46","9","2","42","15","31","710","0"
"9566","728","╞","30","46","14","2","42","15","42","663","0"
"9553","715","║","30","46","9","2","42","15","47","616","0"
"9552","714","═","46","20","-2","13","42","15","225","73","0"
"9532","713","┼","46","46","-2","2","42","15","0","804","0"
"9524","712","┴","46","30","-2","2","42","15","131","366","0"
"9516","711","┬","46","25","-2","23","42","15","47","554","0"
"9508","710","┤","30","46","-2","2","42","15","89","507","0"
"9500","709","├","30","46","14","2","42","15","37","757","0"
"9474","704","│","15","46","14","2","42","15","136","313","0"
"9472","703","─","46","9","-2","23","42","15","162","214","0"
"8993","702","⌡","30","46","-2","2","42","15","141","266","0"
"8992","701","⌠","30","46","14","2","42","15","152","313","0"
"8747","691","∫","46","46","-2","2","42","15","172","266","0"
"8734","688","∞","46","25","-2","13","42","15","183","224","0"
"8730","687","√","46","46","-2","2","42","15","94","434","0"
"8719","682","∏","41","46","-2","2","42","15","0","851","0"
"8709","679","∅","46","46","-2","2","42","15","0","898","0"
"8616","677","↨","46","46","-2","2","42","15","42","851","0"
"8597","676","↕","36","46","3","2","42","15","47","804","0"
